row_id,source,report_date,status_id,water_source,water_tech,install_year,installer,fecal_coliform_value,fecal_coliform_presence,activity_id,clean_country_id,clean_country_name,clean_adm1,water_source_clean,water_source_category,water_tech_clean,_facility_type,management_clean,status_clean,count,updated,pay_clean,subjective_quality_clean,dataset_title
9063,Water For People,2020-02-19T00:00:00.000,Yes,,Protected deep borehole,,,,Present,,UGA,Uganda,Eastern,Borehole/Tubewell,Well,,Improved,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
9223,Water For People,2005-09-07T00:00:00.000,No,,Protected Spring,,,,,,UGA,Uganda,Western,Protected Well,Well,,Improved,,Non-Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
9376,Water For People,2020-02-20T00:00:00.000,No,,Protected Shallow Well,,,,,,UGA,Uganda,Eastern,Undefined Well,Well,,Unknown,,Non-Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
13241,Water For People,2019-03-15T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
15068,Water For People,2019-03-19T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
19412,Water For People,2005-09-07T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Western,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
31145,Water For People,2019-03-21T00:00:00.000,No,,Protected deep borehole,,,,,,UGA,Uganda,Western,Borehole/Tubewell,Well,,Improved,,Non-Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
32000,Water For People,2020-02-20T00:00:00.000,Yes,,Protected Shallow Well,,,,,,UGA,Uganda,Eastern,Undefined Well,Well,,Unknown,,Functional,1,2022-02-18T05:36:33.000,,,Water For People_Global_2017-2020
39965,Water Mission,2013-12-12T00:00:00.000,Unknown,,Electrical pump,2012,Water Mission,,,00.015.83,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
41933,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2008,Water Mission,,,00.008.92,GTM,Guatemala,Quiché,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
41961,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2006,Water Mission,,,00.006.48,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
41989,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2007,Water Mission,,,00.006.49,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
42936,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2009,Water Mission,,,00.007.28,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43110,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2010,Water Mission,,,00.007.40,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43131,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2012,Water Mission,,,00.013.06,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43138,Water Mission,2013-12-18T00:00:00.000,Unknown,,Electrical pump,2012,Water Mission,,,00.013.51,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43236,Water Mission,2014-01-14T00:00:00.000,Unknown,,Electrical pump,2013,Water Mission,,,00.019.49,KEN,Kenya,Homa Bay,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43368,Water Mission,2014-02-25T00:00:00.000,Unknown,,Electrical pump,2013,Water Mission,,,00.015.84,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
43445,Water Mission,2014-06-03T00:00:00.000,Unknown,,Electrical pump,2010,Water Mission,,,00.009.43,HND,Honduras,Colón,,,Motorized Pump - Electric,Unknown,Community Management,Non-Functional,1,2020-07-31T01:54:53.000,,,Water Mission_Global_2006-2012
